issue,page,diagnosis,expect,v2_tables,v2_dirty,v2_outside,v2_foreign,v3_tables,v3_dirty,v3_outside,v3_foreign
1973_04,58,рисунок,нет,1,1,0,0.0,0,0,0,0.0
1973_05,3,рамка_страницы,нет,1,0,0,0.0,1,0,0,0.0
1973_05,85,fr_шум,таблица,0,0,0,0.0,1,0,0,0.0
1973_08,18,fr_нашёл,таблица,0,0,0,0.0,1,0,0,0.0
1973_08,22,fr_нашёл,таблица,0,0,0,0.0,1,0,6,0.0
1973_08,23,режет_текст,таблица,1,1,0,0.0,1,0,0,0.0161
1973_08,24,fr_нашёл,таблица,0,0,0,0.0,1,0,0,0.0084
1973_08,25,не_оценил,,1,2,0,0.0006,1,1,0,0.0006
1973_08,31,не_оценил,,2,0,4,0.0001,2,0,0,0.1058
1973_08,32,не_оценил,,1,0,0,0.0,1,0,0,0.0
1973_10,3,рамка_страницы,нет,1,0,0,0.0,1,0,0,0.0
1973_10,27,кусок_блок_схемы,,1,0,8,0.0709,1,1,7,0.0108
1973_10,50,режет_текст,таблица,1,3,0,0.0992,1,2,1,0.0165
1973_10,51,fr_шум,нет,0,0,0,0.0,0,0,0,0.0
1973_11,3,рамка_страницы,нет,1,0,0,0.0,1,0,0,0.0
1973_11,73,fr_шум,нет,0,0,0,0.0,0,0,0,0.0
1973_12,85,режет_текст,таблица,1,2,1,0.0028,1,0,0,0.0224
1973_12,86,режет_текст,таблица,1,2,1,0.0,1,1,0,0.0073
1973_12,92,fr_шум,нет,0,0,0,0.0,0,0,0,0.0
1973_12,94,fr_шум,нет,0,0,0,0.0,0,0,0,0.0
1973_12,96,fr_шум,нет,0,0,0,0.0,0,0,0,0.0
1973_12,97,fr_шум,нет,0,0,0,0.0,0,0,0,0.0
1974_01,36,блок_схема,нет,1,0,0,0.0206,1,0,0,0.0206
1974_01,68,режет_текст,таблица,1,1,6,0.0419,1,0,6,0.0
1974_02,3,рамка_страницы,нет,1,0,0,0.0,1,0,0,0.0
1974_02,28,режет_текст,таблица,1,1,0,0.0,1,0,0,0.0
1974_03,3,рамка_страницы,нет,1,0,0,0.0,1,0,0,0.0
1974_03,89,кусок_блок_схемы,,1,1,8,0.0207,1,1,3,0.007
1974_04,62,fr_шум,нет,0,0,0,0.0,0,0,0,0.0
1974_04,63,блок_схема,нет,1,0,0,0.0046,1,0,0,0.0046
1974_05,3,рамка_страницы,нет,1,1,0,0.0,1,0,0,0.0
1974_05,49,есть_ещё_таблицы,таблица,1,0,4,0.0,3,0,0,0.0
1974_06,3,рамка_страницы,нет,1,1,0,0.0,1,0,0,0.0
1974_06,25,fr_шум,нет,0,0,0,0.0,0,0,0,0.0
1974_06,29,fr_шум,нет,0,0,0,0.0,0,0,0,0.0
1974_07,12,fr_шум,нет,0,0,0,0.0,1,0,0,0.0
1974_07,16,fr_шум,нет,0,0,0,0.0,1,0,0,0.0
1974_08,58,режет_текст,таблица,1,3,4,0.4821,1,0,3,0.2141
1974_10,3,рамка_страницы,нет,1,0,0,0.0,1,0,0,0.0
1974_10,56,line_art,нет,1,4,0,0.0307,0,0,0,0.0
1974_10,96,режет_текст,таблица,1,2,1,0.0234,1,0,1,0.0557
1974_11,17,не_целиком,таблица,2,0,1,0.0,2,0,0,0.0239
1974_12,34,надпись_пополам,,1,2,0,0.0056,1,0,0,0.0123
1974_12,38,кусок_блок_схемы,,1,0,3,0.0,1,0,4,0.0029
1974_12,40,кусок_блок_схемы,,1,1,8,0.0,1,1,8,0.0
1974_12,42,кусок_блок_схемы,,1,2,3,0.0,1,2,3,0.0
1974_12,46,режет_текст,таблица,1,1,0,0.0,1,0,0,0.0
1975_01,43,по_буквам,,1,1,0,0.9708,1,0,0,0.7403
1975_02,93,режет_текст,таблица,1,1,0,0.0015,1,0,0,0.0025
1975_03,3,рамка_страницы,нет,1,0,0,0.0,1,0,0,0.0
1975_04,4,рамка_страницы,нет,1,0,0,0.0,1,0,0,0.0
1975_06,71,не_оценил,,2,1,0,0.0002,3,0,0,0.0002
1975_07,42,не_целиком,таблица,1,1,0,0.0,1,1,0,0.0
1975_07,44,не_целиком,таблица,1,1,1,0.0005,1,1,0,0.0964
1975_07,59,график,нет,1,0,0,0.0,0,0,0,0.0
1975_07,69,текст_рядом,таблица,1,2,2,0.5654,1,0,7,0.0
1975_07,96,fr_шум,нет,0,0,0,0.0,0,0,0,0.0
1975_08,3,рамка_страницы,нет,1,1,0,0.0,1,0,0,0.0
1975_10,59,fr_нашёл,таблица,0,0,0,0.0,1,0,0,0.0
1975_11,68,график,нет,1,0,0,0.0,0,0,0,0.0
1975_11,69,график,нет,1,1,0,0.0,0,0,0,0.0
1975_11,73,не_целиком,таблица,1,1,0,0.0,1,1,0,0.0
1975_11,97,по_буквам,,2,3,1,0.2576,2,0,2,0.3144
1976_01,3,рамка_страницы,нет,1,1,0,0.0,1,0,0,0.0
1976_02,2,fr_шум,нет,0,0,0,0.0,0,0,0,0.0
1976_02,4,рамка_страницы,нет,1,0,0,0.0,0,0,0,0.0
1976_03,32,блок_схема,нет,1,0,0,0.0,1,0,0,0.0
1976_03,33,fr_шум,нет,0,0,0,0.0,0,0,0,0.0
1976_04,3,рамка_страницы,нет,1,0,0,0.0,1,0,0,0.0
1976_05,3,рамка_страницы,нет,1,0,0,0.0,1,0,0,0.0
1976_05,46,есть_ещё_таблицы,таблица,2,3,7,0.3016,3,0,6,0.0
1976_06,41,график,нет,1,1,0,0.0,0,0,0,0.0
1976_08,3,рамка_страницы,нет,1,0,0,0.0,1,0,0,0.0
1976_08,30,текст_рядом,таблица,1,0,0,0.4368,1,0,0,0.0
1976_11,3,рамка_страницы,нет,1,0,0,0.0,1,0,0,0.0
1976_12,3,рамка_страницы,нет,1,0,0,0.0,1,0,0,0.0
1976_12,23,режет_текст,таблица,1,1,2,0.0071,1,0,2,0.0227
1976_12,24,режет_текст,таблица,1,2,3,0.2034,1,1,2,0.1922
1976_12,25,режет_текст,таблица,2,2,2,0.0932,2,0,2,0.2548
1976_12,30,текст_рядом,таблица,1,1,0,0.0431,1,1,0,0.0431
