issue,page,diagnosis,expect,v3_tables,v3_dirty,v3_crossed,v3_outside,v3_foreign,v4_tables,v4_dirty,v4_crossed,v4_outside,v4_foreign,v4_diagrams,v4_drawings,v4_kind_ok
1970_06,64,кусок_блок_схемы,,1,0,2,3,0.0,0,0,0,0,0.0,1,0,1
1970_06,87,текст_рядом,таблица,1,0,0,0,0.0,1,0,0,0,0.0,0,0,1
1970_10,3,рамка_страницы,нет,1,0,0,0,0.0,1,0,0,0,0.0,0,0,
1970_10,33,номер_страницы,таблица,1,0,0,0,0.0006,1,0,0,0,0.0006,0,0,1
1970_10,34,текст_рядом,таблица,1,0,1,0,0.2535,1,0,0,1,0.0001,0,0,1
1970_10,81,текст_рядом,таблица,1,0,0,0,0.0002,1,0,0,0,0.0002,0,0,1
1970_11,26,номер_страницы,таблица,1,0,0,0,0.0,1,0,0,0,0.0,0,0,1
1970_11,88,кусок_блок_схемы,,1,0,1,8,0.008,0,0,0,0,0.0,1,0,1
1971_01,28,режет_текст,таблица,1,0,0,0,0.3189,1,0,0,2,0.0,0,0,1
1971_03,38,текст_рядом,таблица,1,0,0,0,0.0,1,0,0,0,0.0,0,0,1
1971_06,45,fr_шум,нет,0,0,0,0,0.0,0,0,0,0,0.0,0,0,
1971_06,46,без_границ,таблица,2,0,0,0,0.0211,2,1,0,0,0.0604,0,0,1
1971_06,87,fr_нашёл,таблица,1,0,0,0,0.0,1,0,0,1,0.0,0,0,1
1971_07,3,рамка_страницы,нет,1,0,0,0,0.0,1,0,0,0,0.0,0,0,
1971_07,95,не_целиком,таблица,1,0,0,0,0.0033,1,0,0,0,0.0033,0,0,1
1971_08,21,кусок_блок_схемы,,1,0,2,4,0.0,0,0,0,0,0.0,1,0,1
1971_08,30,fr_шум,нет,0,0,0,0,0.0,0,0,0,0,0.0,1,0,
1971_08,33,не_оценил,,2,0,1,2,0.0159,2,0,0,2,0.0159,0,0,
1971_08,70,не_целиком,таблица,1,0,0,0,0.129,1,0,0,0,0.129,0,0,1
1971_09,4,рамка_страницы,нет,1,0,0,0,0.0,1,0,0,0,0.0,0,0,
1971_09,97,по_буквам,,1,0,2,0,0.0098,1,0,0,0,0.0105,0,0,
1971_09,98,по_буквам,,1,0,2,0,0.0111,1,0,0,1,0.0126,0,0,
1971_10,3,рамка_страницы,нет,1,0,0,0,0.0,1,0,0,0,0.0,0,0,
1971_10,97,не_оценил,,1,0,0,3,0.0,1,0,0,3,0.0,0,0,
1971_12,97,fr_шум,нет,0,0,0,0,0.0,0,0,0,0,0.0,0,0,
1971_12,98,fr_шум,нет,0,0,0,0,0.0,0,0,0,0,0.0,0,0,
1972_01,3,рамка_страницы,нет,1,0,0,0,0.0,1,0,0,0,0.0,0,0,
1972_01,69,без_границ,таблица,3,0,0,1,0.4868,2,3,0,1,0.5286,0,0,1
1972_01,96,баннер_призрак,нет,0,0,0,0,0.0,0,0,0,0,0.0,0,0,
1972_05,66,fr_шум,нет,0,0,0,0,0.0,0,0,0,0,0.0,0,0,
1972_06,28,баннер_призрак,нет,0,0,0,0,0.0,0,0,0,0,0.0,0,0,
1972_06,37,режет_текст,таблица,1,0,0,0,0.0063,1,0,0,0,0.0063,0,0,1
1972_06,73,fr_нашёл,таблица,1,0,0,0,0.0007,1,0,0,0,0.0007,0,0,1
1972_06,74,fr_шум,нет,0,0,0,0,0.0,0,0,0,0,0.0,0,0,
1972_06,83,не_оценил,,1,1,0,1,0.0026,1,1,0,1,0.0829,0,0,
1972_07,75,есть_ещё_таблицы,таблица,6,0,0,0,0.0,6,0,0,0,0.0,0,0,1
1972_07,96,по_буквам,,1,1,14,0,0.0076,1,0,0,0,0.0425,0,0,
1972_08,30,баннер_призрак,нет,0,0,0,0,0.0,0,0,0,0,0.0,0,0,
1972_10,36,есть_ещё_таблицы,таблица,3,0,0,0,0.0,3,0,0,0,0.0,0,0,1
1972_11,38,без_границ,таблица,2,0,0,0,0.0593,2,2,0,9,0.1974,0,0,1
