2026-09-14 00:00:18,175 INFO research.external_ocr_models: пропущено готовых: 0
2026-09-14 00:00:18,175 INFO research.external_ocr_models: deepseek-v41-flash (deepseek/deepseek-v4.1-flash): 97 полос, 4 потоков, strips=2, max_side=2200
2026-09-14 00:01:31,766 INFO research.external_ocr_models: 41/97 IMG_0124_2R.jpg: ok, 2961 tok → 1033 tok, $0.000951054, 7 с
2026-09-14 00:01:33,761 INFO research.external_ocr_models: 42/97 IMG_0125_2R.jpg: ok, 2961 tok → 964 tok, $0.000909654, 7 с
2026-09-14 00:01:36,662 INFO research.external_ocr_models: 43/97 IMG_0126_1L.jpg: ok, 2961 tok → 794 tok, $0.000807654, 6 с
2026-09-14 00:01:38,514 INFO research.external_ocr_models: 44/97 IMG_0127_1L.jpg: ok, 2961 tok → 949 tok, $0.000900654, 6 с
2026-09-14 00:01:39,192 INFO research.external_ocr_models: 45/97 IMG_0126_2R.jpg: ok, 2961 tok → 1046 tok, $0.000958854, 7 с
2026-09-14 00:01:42,937 INFO research.external_ocr_models: 46/97 IMG_0127_2R.jpg: ok, 2961 tok → 1140 tok, $0.001015254, 9 с
2026-09-14 00:01:44,287 INFO research.external_ocr_models: 47/97 IMG_0128_1L.jpg: ok, 2961 tok → 1109 tok, $0.000996654, 7 с
2026-09-14 00:01:45,221 INFO research.external_ocr_models: 48/97 IMG_0128_2R.jpg: ok, 2961 tok → 1002 tok, $0.000932454, 6 с
2026-09-14 00:01:45,615 INFO research.external_ocr_models: 49/97 IMG_0129_1L.jpg: ok, 2961 tok → 929 tok, $0.000888654, 6 с
2026-09-14 00:01:49,321 INFO research.external_ocr_models: 50/97 IMG_0129_2R.jpg: ok, 2961 tok → 894 tok, $0.000867654, 6 с
2026-09-14 00:01:51,162 INFO research.external_ocr_models: 51/97 IMG_0130_1L.jpg: ok, 2961 tok → 945 tok, $0.000898254, 7 с
2026-09-14 00:01:52,604 INFO research.external_ocr_models: 52/97 IMG_0130_2R.jpg: ok, 2961 tok → 1017 tok, $0.000941454, 7 с
2026-09-14 00:01:52,882 INFO research.external_ocr_models: 53/97 IMG_0131_1L.jpg: ok, 2961 tok → 1035 tok, $0.000952254, 7 с
2026-09-14 00:01:55,448 INFO research.external_ocr_models: 54/97 IMG_0131_2R.jpg: ok, 2961 tok → 845 tok, $0.000838254, 6 с
2026-09-14 00:01:57,419 INFO research.external_ocr_models: 55/97 IMG_0132_1L.jpg: ok, 2961 tok → 862 tok, $0.000848454, 6 с
2026-09-14 00:02:00,571 INFO research.external_ocr_models: 56/97 IMG_0132_2R.jpg: ok, 2961 tok → 1167 tok, $0.001031454, 8 с
2026-09-14 00:02:01,675 INFO research.external_ocr_models: 57/97 IMG_0133_1L.jpg: ok, 2961 tok → 1133 tok, $0.001011054, 8 с
2026-09-14 00:02:03,239 INFO research.external_ocr_models: 58/97 IMG_0133_2R.jpg: ok, 2961 tok → 1143 tok, $0.001017054, 7 с
2026-09-14 00:02:04,860 INFO research.external_ocr_models: 59/97 IMG_0134_1L.jpg: ok, 2961 tok → 1418 tok, $0.001182054, 7 с
2026-09-14 00:02:07,721 INFO research.external_ocr_models: 60/97 IMG_0134_2R.jpg: ok, 2961 tok → 1050 tok, $0.000961254, 7 с
2026-09-14 00:02:09,111 INFO research.external_ocr_models: 61/97 IMG_0135_1L.jpg: ok, 2961 tok → 1119 tok, $0.001002654, 7 с
2026-09-14 00:02:10,660 INFO research.external_ocr_models: 62/97 IMG_0135_2R.jpg: ok, 2961 tok → 1007 tok, $0.000935454, 7 с
2026-09-14 00:02:12,978 INFO research.external_ocr_models: 63/97 IMG_0136_1L.jpg: ok, 2961 tok → 1116 tok, $0.001000854, 8 с
2026-09-14 00:02:13,696 INFO research.external_ocr_models: 64/97 IMG_0136_2R.jpg: ok, 2961 tok → 721 tok, $0.000763854, 6 с
2026-09-14 00:02:16,316 INFO research.external_ocr_models: 65/97 IMG_0137_1L.jpg: ok, 2961 tok → 983 tok, $0.000921054, 7 с
2026-09-14 00:02:17,584 INFO research.external_ocr_models: 66/97 IMG_0137_2R.jpg: ok, 2961 tok → 951 tok, $0.000901854, 7 с
2026-09-14 00:02:20,188 INFO research.external_ocr_models: 67/97 IMG_0138_1L.jpg: ok, 2961 tok → 1037 tok, $0.000953454, 7 с
2026-09-14 00:02:21,739 INFO research.external_ocr_models: 68/97 IMG_0138_2R.jpg: ok, 2961 tok → 1204 tok, $0.001053654, 8 с
2026-09-14 00:02:25,807 INFO research.external_ocr_models: 69/97 IMG_0139_1L.jpg: ok, 2961 tok → 1628 tok, $0.001308054, 9 с
2026-09-14 00:02:27,403 INFO research.external_ocr_models: 70/97 IMG_0139_2R.jpg: ok, 2961 tok → 1642 tok, $0.001316454, 9 с
2026-09-14 00:02:29,653 INFO research.external_ocr_models: 71/97 IMG_0140_2R.jpg: ok, 2961 tok → 1295 tok, $0.001108254, 8 с
2026-09-14 00:02:30,297 INFO research.external_ocr_models: 72/97 IMG_0140_1L.jpg: ok, 2961 tok → 1651 tok, $0.001321854, 10 с
2026-09-14 00:02:35,616 INFO research.external_ocr_models: 73/97 IMG_0141_2R.jpg: ok, 2961 tok → 1280 tok, $0.001099254, 8 с
