2026-09-13 23:55:06,772 INFO research.external_ocr_models: пропущено готовых: 0
2026-09-13 23:55:06,772 INFO research.external_ocr_models: qwen38-flash (qwen/qwen3.8-flash): 97 полос, 4 потоков, strips=1, max_side=2200
2026-09-13 23:57:17,595 INFO research.external_ocr_models: 42/97 IMG_0126_1L.jpg: ok, 3720 tok → 722 tok, $0.000760124, 9 с
2026-09-13 23:57:22,022 INFO research.external_ocr_models: 43/97 IMG_0125_2R.jpg: ok, 3720 tok → 812 tok, $0.000802424, 14 с
2026-09-13 23:57:28,577 INFO research.external_ocr_models: 44/97 IMG_0127_1L.jpg: ok, 3720 tok → 901 tok, $0.000844254, 11 с
2026-09-13 23:57:29,131 INFO research.external_ocr_models: 45/97 IMG_0126_2R.jpg: ok, 3720 tok → 924 tok, $0.000855064, 12 с
2026-09-13 23:57:33,397 INFO research.external_ocr_models: 46/97 IMG_0127_2R.jpg: ok, 3720 tok → 1023 tok, $0.000901594, 15 с
2026-09-13 23:57:34,891 INFO research.external_ocr_models: 47/97 IMG_0128_1L.jpg: ok, 3720 tok → 994 tok, $0.000887964, 13 с
2026-09-13 23:57:40,211 INFO research.external_ocr_models: 48/97 IMG_0128_2R.jpg: ok, 3720 tok → 896 tok, $0.000841904, 11 с
2026-09-13 23:57:43,495 INFO research.external_ocr_models: 49/97 IMG_0129_1L.jpg: ok, 3720 tok → 838 tok, $0.000814644, 14 с
2026-09-13 23:57:46,996 INFO research.external_ocr_models: 50/97 IMG_0129_2R.jpg: ok, 3720 tok → 807 tok, $0.000800074, 13 с
2026-09-13 23:57:47,902 INFO research.external_ocr_models: 51/97 IMG_0130_1L.jpg: ok, 3720 tok → 893 tok, $0.000840494, 13 с
2026-09-13 23:57:53,484 INFO research.external_ocr_models: 52/97 IMG_0130_2R.jpg: ok, 3720 tok → 975 tok, $0.000879034, 13 с
2026-09-13 23:57:54,747 INFO research.external_ocr_models: 53/97 IMG_0131_1L.jpg: ok, 3720 tok → 936 tok, $0.000860704, 11 с
2026-09-13 23:57:57,811 INFO research.external_ocr_models: 54/97 IMG_0132_1L.jpg: ok, 3720 tok → 777 tok, $0.000785974, 10 с
2026-09-13 23:57:58,450 INFO research.external_ocr_models: 55/97 IMG_0131_2R.jpg: ok, 3720 tok → 802 tok, $0.000797724, 11 с
2026-09-13 23:58:06,827 INFO research.external_ocr_models: 56/97 IMG_0133_1L.jpg: ok, 3720 tok → 961 tok, $0.000872454, 12 с
2026-09-13 23:58:08,145 INFO research.external_ocr_models: 57/97 IMG_0132_2R.jpg: ok, 3720 tok → 1013 tok, $0.000896894, 14 с
2026-09-13 23:58:11,081 INFO research.external_ocr_models: 58/97 IMG_0134_1L.jpg: ok, 3720 tok → 1008 tok, $0.000894544, 12 с
2026-09-13 23:58:12,314 INFO research.external_ocr_models: 59/97 IMG_0133_2R.jpg: ok, 3720 tok → 1014 tok, $0.000897364, 14 с
2026-09-13 23:58:18,114 INFO research.external_ocr_models: 60/97 IMG_0134_2R.jpg: ok, 3720 tok → 941 tok, $0.000863054, 11 с
2026-09-13 23:58:19,902 INFO research.external_ocr_models: 61/97 IMG_0135_1L.jpg: ok, 3720 tok → 972 tok, $0.000877624, 11 с
2026-09-13 23:58:23,523 INFO research.external_ocr_models: 62/97 IMG_0135_2R.jpg: ok, 3720 tok → 938 tok, $0.000861644, 12 с
2026-09-13 23:58:24,750 INFO research.external_ocr_models: 63/97 IMG_0136_1L.jpg: ok, 3720 tok → 991 tok, $0.000886554, 12 с
2026-09-13 23:58:28,518 INFO research.external_ocr_models: 64/97 IMG_0136_2R.jpg: ok, 3720 tok → 649 tok, $0.000725814, 10 с
2026-09-13 23:58:29,262 INFO research.external_ocr_models: 65/97 IMG_0137_2R.jpg: невалидный JSON: в JSON нет поля content_markdown, 3720 tok → 2 tok, $0.000421724, 5 с
2026-09-13 23:58:30,726 INFO research.external_ocr_models: 66/97 IMG_0137_1L.jpg: ok, 3720 tok → 868 tok, $0.000828744, 11 с
2026-09-13 23:58:37,416 INFO research.external_ocr_models: 67/97 IMG_0138_1L.jpg: ok, 3720 tok → 923 tok, $0.000854594, 12 с
2026-09-13 23:58:38,897 INFO research.external_ocr_models: 68/97 IMG_0138_2R.jpg: ok, 3720 tok → 1043 tok, $0.000910994, 10 с
2026-09-13 23:58:43,176 INFO research.external_ocr_models: 69/97 IMG_0140_2R.jpg: невалидный JSON: в JSON нет поля content_markdown, 3720 tok → 2 tok, $0.000421724, 4 с
2026-09-13 23:58:43,867 INFO research.external_ocr_models: 70/97 IMG_0139_1L.jpg: ok, 3720 tok → 1362 tok, $0.001060924, 14 с
2026-09-13 23:58:49,690 INFO research.external_ocr_models: 71/97 IMG_0139_2R.jpg: ok, 3720 tok → 1408 tok, $0.001082544, 19 с
2026-09-13 23:58:55,399 INFO research.external_ocr_models: 72/97 IMG_0140_1L.jpg: ok, 3720 tok → 1372 tok, $0.001065624, 18 с
2026-09-13 23:58:58,552 INFO research.external_ocr_models: 73/97 IMG_0141_2R.jpg: ok, 3720 tok → 1128 tok, $0.000950944, 14 с
